category,probe_path,subcategory,fixation_duration,label,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_onset_time,jitter1,discrim_resptime,response_window,correctAns,response.corr,response.keys,response.rt,visibil_resptime,visible.keys,visible.corr,visible.rt,probeFrames,jitter2,n_square,expName,probeFrames,participant,frameRate,date,session,premask_dur,postmask_dur,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/seagull_15.jpg,Birds,0,seagull,0,47,47,74,344.453425284,1.5,345.235022733,nV_V,2,1,2,0.671688282629,345.917369747,3,0,0.501301388489,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/manatee_5.jpg,Marine_creatures,0,manatee,0,48,48,52,350.626855676,2.0,351.388404276,V_nV,1,1,1,1.15273181803,352.551765081,3,0,0.71176815615,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/crab_16.jpg,Marine_creatures,0,crab,0,49,49,21,357.471724425,2.0,358.213242456,V_nV,1,0,2,2.90654578374,361.130421512,1,1,0.270805952605,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/Chest-of-drawers_10.jpg,Furniture,0,Chest-of-drawers,0,50,50,0,365.609417076,1.5,366.380995282,nV_V,1,1,1,0.71176692273,367.103413631,2,0,0.661658640718,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/goose_14.jpg,Birds,0,goose,0,51,51,34,371.973256688,1.5,372.73481077,V_nV,1,1,1,0.952330083004,373.697773122,3,0,0.5313814088,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/magpie_15.jpg,Birds,0,magpie,0,52,52,51,378.437309125,1.5,379.178824926,V_nV,1,0,2,1.69391198514,380.883375307,1,1,0.471250168281,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/hen_25.jpg,Birds,0,hen,0,53,53,38,385.562802558,2.0,386.314335344,nV_V,2,1,2,1.13268915773,387.457668924,1,1,0.511331797228,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cheetah_10.jpg,Animals,0,cheetah,0,54,54,16,392.1772006,2.0,392.93874631,nV_V,2,1,2,0.791943673161,393.741310237,1,1,0.491286975448,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/pomfret_24.jpg,Marine_creatures,0,pomfret,0,55,55,65,398.44079352,3.0,399.232415829,V_nV,1,1,1,0.731813207152,399.974866648,1,1,0.300877341535,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tapir_25.jpg,Animals,0,tapir,0,56,56,82,404.483958018,1.5,405.305627698,nV_V,2,1,2,1.54357996874,406.859859206,3,0,1.15273178788,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/whale_25.jpg,Marine_creatures,0,whale,0,57,57,94,412.220758016,1.5,413.012377919,nV_V,2,1,2,3.71831189853,416.741329154,3,0,0.531378235552,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/tiger_26.jpg,Animals,0,tiger,0,58,58,84,421.480889968,2.0,422.242442885,V_nV,1,1,1,1.06252984307,423.315610497,1,1,0.471251145704,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/rooster_8.jpg,Birds,0,rooster,0,59,59,70,427.995051503,1.5,428.776646019,nV_V,2,1,2,1.87429922493,430.661577728,1,1,0.641611243365,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/elephant_15.jpg,Animals,0,elephant,0,60,60,27,435.511388199,2.0,436.323055135,V_nV,1,1,1,1.64379505988,437.977479776,3,0,0.611545034801,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/small-saucepan_17.jpg,Kitchen_Uten,0,small-saucepan,0,61,61,77,442.797234426,3.5,443.58884948,V_nV,2,1,2,1.29304328619,444.892527881,3,0,1.11264162534,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/frying-pan_20.jpg,Kitchen_Uten,0,frying-pan,0,62,62,31,450.213346318,2.0,450.984937572,nV_V,1,1,1,1.75403625192,452.749598634,3,0,0.842053286382,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/cup_16.jpg,Kitchen_Uten,0,cup,0,63,63,22,457.799863618,1.5,458.551381078,V_nV,2,1,2,1.49331130518,460.055320749,2,0,0.801977209747,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/sperm-whale_1.jpg,Marine_creatures,0,sperm-whale,0,64,64,80,465.065634566,2.0,465.80715548,nV_V,2,0,1,2.12484246725,467.942635265,1,1,0.270804602886,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/bus_2.jpg,Vehicles,0,bus,0,65,65,9,472.421633588,1.5,473.173165649,V_nV,2,1,2,0.751694719656,473.945513381,3,0,0.391071357648,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/dragonfly_26.jpg,Insects,0,dragonfly,0,66,66,24,478.545289746,1.5,479.26641641,nV_V,2,1,2,2.21488929086,481.491939658,1,1,0.661659110454,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lynx_7.jpg,Animals,0,lynx,0,67,67,50,486.361944506,1.5,487.093428297,V_nV,1,0,2,0.852074831026,487.95614234,1,1,0.471251683193,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/violin_23.jpg,Musical_Inst,0,violin,0,68,68,92,492.635579508,1.5,493.377091482,nV_V,1,1,1,1.60373136296,494.991457907,1,1,0.781920662499,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/ostrich_25.jpg,Birds,0,ostrich,0,69,69,56,499.981568204,3.0,500.733087062,nV_V,2,1,2,0.85207894363,501.595791075,2,0,0.751859919983,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Tools/hammer_11.jpg,Tools,0,hammer,0,70,70,37,506.555841333,2.0,507.297352661,nV_V,1,1,1,0.992376900394,508.300363424,1,1,0.521354627563,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/granary_25.jpg,Buildings,0,granary,0,71,71,35,513.029938753,3.0,513.801502951,nV_V,1,1,1,1.42332059331,515.235448915,3,0,0.661663005245,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/lioness_5.jpg,Animals,0,lioness,0,72,72,48,520.105294683,1.5,520.846811352,V_nV,1,0,2,1.45338057284,522.310830013,1,1,0.431152272853,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/armchair_2.jpg,Furniture,0,armchair,0,73,73,2,526.950177033,1.5,527.721757366,V_nV,2,1,2,0.801968055894,528.534363417,3,0,0.390827594674,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/zebra_21.jpg,Animals,0,zebra,0,74,74,95,533.133619552,1.5,533.87513435,V_nV,1,0,2,0.992378212279,534.878151459,1,1,0.571311660111,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/turtle_13.jpg,Animals,0,turtle,0,75,75,90,539.657805567,1.5,540.429384659,nV_V,2,1,2,0.681708368356,541.121727658,1,1,0.982360758237,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Insects/scorpion_5.jpg,Insects,0,scorpion,0,76,76,73,546.31227143,1.5,547.103893619,nV_V,2,1,2,0.601534926449,547.71606219,1,1,0.4311662236,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/filling-cabinet_17.jpg,Furniture,0,filling-cabinet,0,77,77,29,552.355411391,2.0,553.157054188,V_nV,2,1,2,0.641604702454,553.809312617,3,0,0.270811241935,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/dolphin_26.jpg,Marine_creatures,0,dolphin,0,78,78,23,558.28831249,1.5,559.059889308,nV_V,2,1,2,1.65366767393,560.724195375,2,0,0.451206744532,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Marine_creatures/killer-whale_8.jpg,Marine_creatures,0,killer-whale,0,79,79,43,565.383736234,3.0,566.145289301,nV_V,2,1,2,0.872117351973,567.028041738,3,0,0.54140630248,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/penguin_19.jpg,Birds,0,penguin,0,80,80,61,571.777639291,2.5,572.509126815,V_nV,1,0,2,1.52372402756,574.043489943,1,1,0.621573973796,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Birds/barn-owl_6.jpg,Birds,0,barn-owl,0,81,81,4,578.873077332,1.5,579.624595031,nV_V,2,1,2,0.962318207021,580.597543282,1,1,0.611558933277,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/rocking-chair_14.jpg,Furniture,0,rocking-chair,0,82,82,69,585.417291808,2.0,586.168825782,V_nV,2,1,2,1.0825785374,587.262039911,1,1,0.992375449394,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Vehicles/car_22.jpg,Vehicles,0,car,0,83,83,11,592.462600119,2.5,593.224167618,nV_V,1,1,1,0.751874889713,593.986668916,3,0,0.391070688842,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/palace_3.jpg,Buildings,0,palace,0,84,84,58,598.585917454,1.5,599.327436034,nV_V,1,1,1,1.08259227406,600.42066276,1,1,0.822005050723,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/saucepan_26.jpg,Kitchen_Uten,0,saucepan,0,85,85,71,605.450857348,1.5,606.212468264,V_nV,2,1,2,0.6715299465,606.894562721,3,0,0.330946282833,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Kitchen_Uten/fondue_0.jpg,Kitchen_Uten,0,fondue,0,86,86,30,611.43384791,3.0,612.165348096,V_nV,2,1,2,0.761886126245,612.93786157,3,0,1.91439662804,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/sofa_0.jpg,Furniture,0,sofa,0,87,87,78,619.060423386,1.5,619.781908414,V_nV,2,1,2,2.37539115374,622.167925111,1,1,0.451053277007,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/guitar_11.jpg,Musical_Inst,0,guitar,0,88,88,36,626.827311427,2.5,627.568827792,nV_V,1,1,1,0.791941267205,628.371404343,3,0,0.290852225502,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/cat_12.jpg,Animals,0,cat,0,89,89,13,632.870451703,1.5,633.591927156,nV_V,2,1,2,2.62593543774,636.228484757,2,0,0.240762074711,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/mill_12.jpg,Buildings,0,mill,0,90,90,53,640.677423237,2.5,641.398892311,nV_V,1,0,2,1.48344716476,642.892975214,1,1,0.44117684348,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Musical_Inst/drum_20.jpg,Musical_Inst,0,drum,0,91,91,25,647.54235303,1.5,648.293884492,nV_V,1,1,1,1.2228978622,649.527422586,1,1,0.661660388694,5,7.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/hippopotamus_19.jpg,Animals,0,hippopotamus,0,92,92,39,654.39724482,2.0,655.158808861,nV_V,2,1,2,1.52354800759,656.703015073,3,0,0.501310087158,5,6.0,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Living_Things,../experiment_stimuli/bw_bc_bl/Living_Things/Animals/armadillo_3.jpg,Animals,0,armadillo,0,93,93,1,661.41249858,2.5,662.143994303,nV_V,2,0,1,1.79412867781,663.948755396,1,1,0.40109359799,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Furniture/wardrobe_15.jpg,Furniture,0,wardrobe,0,94,94,93,668.558058192,1.5,669.299551073,nV_V,1,1,1,1.26297562302,670.573154811,3,0,0.431157358922,5,6.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
Nonliving_Things,../experiment_stimuli/bw_bc_bl/Nonliving_Things/Buildings/house_23.jpg,Buildings,0,house,0,95,95,41,675.212499248,2.5,675.933975754,V_nV,2,0,1,2.91656614759,678.861170272,1,1,0.33094044833,5,7.5,32,Expt_DEF,5,alvaro,99.7844686924,2019_may_16_1000,001,20,20,
